0.0000	0.00000	0.00185	0.01852	0.97963
0.0042	0.00070	0.00523	0.04181	0.94808
0.0061	0.00041	0.00497	0.04048	0.94806
0.0071	0.00114	0.00427	0.03876	0.94870
0.0038	0.00151	0.00352	0.05475	0.93646
0.0034	0.00169	0.00338	0.05907	0.93249
0.0119	0.00225	0.00738	0.03272	0.94578
0.0116	0.00194	0.00581	0.04651	0.93411
0.0037	0.00134	0.00492	0.08678	0.90324
0.0193	0.00175	0.00658	0.02018	0.95219
0.0074	0.00573	0.00491	0.06628	0.91571
0.0134	0.00000	0.00835	0.06344	0.91486
0.0081	0.00440	0.01100	0.06745	0.90909
0.0186	0.00169	0.00678	0.04576	0.92712
0.0281	0.00166	0.00331	0.02483	0.94205
0.0111	0.00414	0.01243	0.07041	0.90189
0.0138	0.00527	0.00856	0.07044	0.90191
0.0064	0.00394	0.01092	0.10255	0.87621
0.0078	0.00431	0.01121	0.09741	0.87931
0.0190	0.00431	0.00919	0.05688	0.91066
0.0102	0.00277	0.00924	0.09797	0.87985
0.0019	0.00193	0.01349	0.13102	0.85164
0.0166	0.00475	0.01736	0.05871	0.90260
0.0036	0.00362	0.01808	0.11392	0.86076
0.0196	0.00468	0.01531	0.05912	0.90132
0.0138	0.00472	0.01416	0.08573	0.88164
0.0078	0.00626	0.01721	0.10016	0.86854
0.0155	0.00211	0.01617	0.08439	0.88186
0.0057	0.00214	0.01211	0.13533	0.84473
0.0128	0.00426	0.00851	0.11064	0.86383
0.0168	0.00000	0.00503	0.11558	0.86265
0.0116	0.00771	0.01349	0.09634	0.87091
0.0141	0.00554	0.01612	0.09169	0.87254
0.0167	0.00304	0.01522	0.10046	0.86454
0.0126	0.00252	0.01513	0.12106	0.84868
0.0139	0.00249	0.01094	0.12481	0.84784
0.0086	0.00266	0.01529	0.13896	0.83444
0.0102	0.00185	0.01848	0.13494	0.83457
0.0191	0.00382	0.01654	0.09796	0.86260
0.0098	0.00446	0.02406	0.11854	0.84314
0.0114	0.00490	0.01525	0.12908	0.83932
0.0097	0.00364	0.01578	0.14442	0.82646
0.0136	0.00452	0.03281	0.11312	0.83597
0.0340	0.00566	0.00793	0.07814	0.87429
0.0212	0.00283	0.01983	0.11756	0.83853
0.0112	0.00462	0.02048	0.15390	0.80978
0.0084	0.00382	0.02294	0.16896	0.79587
0.0333	0.00891	0.01961	0.06120	0.87701
0.0118	0.01015	0.01692	0.14890	0.81218
0.0163	0.00465	0.02634	0.12936	0.82339
0.0343	0.00215	0.02039	0.08155	0.86159
0.0236	0.00673	0.01347	0.12626	0.82997
0.0133	0.00167	0.02500	0.16000	0.80000
0.0108	0.00614	0.02048	0.17614	0.78648
0.0214	0.00448	0.02487	0.13380	0.81547
0.0369	0.00962	0.01122	0.08494	0.85737
0.0123	0.00359	0.02665	0.17529	0.78216
0.0178	0.00837	0.01569	0.16109	0.79707
0.0239	0.00969	0.02871	0.11074	0.82699
0.0143	0.00519	0.01948	0.18701	0.77403
0.0317	0.00372	0.01490	0.13222	0.81750
0.0165	0.00658	0.02633	0.16676	0.78387
0.0245	0.00639	0.02875	0.13525	0.80511
0.0150	0.00952	0.02993	0.16190	0.78367
0.0133	0.00559	0.03284	0.17540	0.77289
0.0081	0.00814	0.03824	0.19447	0.75102
0.0175	0.02136	0.03495	0.12816	0.79806
0.0182	0.01064	0.03799	0.15653	0.77660
0.0357	0.01042	0.04464	0.08780	0.82143
